country_code,UNICEF Reporting Region,UNICEF Programme Region,wealth_index,Year,Source,Long Source,Male,Female,Rural,Urban,Primary,Sec & Higher
VEN-Venezuela (Bolivarian Republic of),Latin America and Caribbean,LACRO,Not Classified,2000,MICS 2000,Multiple Indicator Cluster Survey 2000,9.1,8.5,,,11.4,7.5
VNM-Viet Nam,East Asia and Pacific,EAPRO,Lower middle income,2000,MICS 2000,Multiple Indicator Cluster Survey 2000,12.2,6.5,9.9,8.2,12.2,2.9
VNM-Viet Nam,East Asia and Pacific,EAPRO,Lower middle income,2002,DHS 2002,Demographic and Health Survey 2002,56.1,64.5,60.5,44.8,60.4,63.2
VNM-Viet Nam,East Asia and Pacific,EAPRO,Lower middle income,2006,MICS 2006,Multiple Indicator Cluster Survey 2006,16,10.7,15.4,4,9.2,16.2
VNM-Viet Nam,East Asia and Pacific,EAPRO,Lower middle income,2011,MICS 2010-2011,Multiple Indicator Cluster Survey 2010-2011,2.8,6.3,4.2,5.8,2,5.2
VNM-Viet Nam,East Asia and Pacific,EAPRO,Lower middle income,2014,MICS 2013-2014,Multiple Indicator Cluster Survey 2013-2014,59.4,48.8,56.2,50.8,56.7,59.3
VNM-Viet Nam,East Asia and Pacific,EAPRO,Lower middle income,2021,SDGCW 2020-2021 (Key Indicators),Viet Nam Sustainable Development Goal on Children and Women Survey 2020-2021 (Key Indicators),,,,,,
VUT-Vanuatu,East Asia and Pacific,EAPRO,Lower middle income,2007,MICS 2007,Multiple Indicator Cluster Survey 2007,3.5,0.3,2.3,0.8,1.8,2.9
VUT-Vanuatu,East Asia and Pacific,EAPRO,Lower middle income,2013,DHS 2013,Demographic and Health Survey 2013,38.3,51,45.9,39.5,46.8,42.5
WSM-Samoa,East Asia and Pacific,EAPRO,Lower middle income,2009,DHS 2009,Demographic and Health Survey 2009,,,,,,
WSM-Samoa,East Asia and Pacific,EAPRO,Lower middle income,2014,DHS 2014,Demographic and Health Survey 2014,,,,,,
WSM-Samoa,East Asia and Pacific,EAPRO,Lower middle income,2020,DHS-MICS 2019-2020,"Samoa Bureau of Statistics. 2021. Samoa Demographic and Health - Multiple Indicator Cluster Survey 2019-20, Survey Findings Report. Apia, Samoa: Samoa Bureau of Statistics.",62.3,52.4,51.9,82.7,,
YEM-Yemen,Middle East and North Africa,MENA,Low income,2006,MICS 2006,Multiple Indicator Cluster Survey 2006,9.5,9.6,8.4,13.4,7.8,10.6
YEM-Yemen,Middle East and North Africa,MENA,Low income,2013,DHS 2013,Demographic and Health Survey 2013,33.5,30.9,30.3,38.4,,
ZAF-South Africa,Eastern and Southern Africa,ESARO,Upper middle income,2004,DHS 2003-2004,Demographic and Health Survey 2003-2004,54.7,56.7,48.2,60.3,,
ZAF-South Africa,Eastern and Southern Africa,ESARO,Upper middle income,2016,DHS 2016,Demographic and Health Survey 2016,59.9,67.1,60,65.5,58.5,76.9
ZMB-Zambia,Eastern and Southern Africa,ESARO,Lower middle income,2002,DHS 2001-2002,Demographic and Health Survey 2001-2002,42,43.5,43.7,40.6,42.8,46
ZMB-Zambia,Eastern and Southern Africa,ESARO,Lower middle income,2007,DHS 2007,Demographic and Health Survey 2007,58.6,59,59.9,56.4,60.7,57
ZMB-Zambia,Eastern and Southern Africa,ESARO,Lower middle income,2014,DHS 2013-2014,Demographic and Health Survey 2013-2014,64.8,66.3,66.5,64.1,67.1,65
ZMB-Zambia,Eastern and Southern Africa,ESARO,Lower middle income,2018,MIS 2018,"Zambia National Malaria Indicator Survey 2018. Ministry of Health, Republic of Zambia",72.5,51.3,64.3,60.4,,
ZMB-Zambia,Eastern and Southern Africa,ESARO,Lower middle income,2019,DHS 2018-2019,Demographic and Health Survey 2018-2019,66.6,68.7,72.7,58.1,71.5,65.2
ZWE-Zimbabwe,Eastern and Southern Africa,ESARO,Lower middle income,2006,DHS 2005-2006,Demographic and Health Survey 2005-2006,32,32.1,30.1,39.1,29,35.2
ZWE-Zimbabwe,Eastern and Southern Africa,ESARO,Lower middle income,2009,MICS 2009,Multiple Indicator Cluster Survey 2009,5,5.8,6.3,2.8,8.6,3
ZWE-Zimbabwe,Eastern and Southern Africa,ESARO,Lower middle income,2011,DHS 2010-2011,Demographic and Health Survey 2010-2011,34.4,37.4,35.1,37.2,31.6,38.2
ZWE-Zimbabwe,Eastern and Southern Africa,ESARO,Lower middle income,2014,MICS 2014,Multiple Indicator Cluster Survey 2014,44.2,44.4,45.5,40.4,42.4,46.5
ZWE-Zimbabwe,Eastern and Southern Africa,ESARO,Lower middle income,2015,DHS 2015,Demographic and Health Survey 2015,38.6,40.4,38.9,40.6,32.5,42.3
ZWE-Zimbabwe,Eastern and Southern Africa,ESARO,Lower middle income,2019,MICS 2019,Multiple Indicator Cluster Survey 2019,36.3,34,36.6,31.6,,
